Rank,University,Country
1,Massachusetts Institute of Technology (MIT),United States
2,Imperial College London,United Kingdom
3,University of Oxford,United Kingdom
4,Harvard University,United States
5,University of Cambridge,United Kingdom
6,Stanford University,United States
7,ETH Zurich,Switzerland
8,National University of Singapore (NUS),Singapore
9,University College London (UCL),United Kingdom
10,California Institute of Technology (Caltech),United States
11,University of Pennsylvania,United States
12,University of California Berkeley (UCB),United States
13,University of Melbourne,Australia
14,Peking University,China
15,Nanyang Technological University (NTU),Singapore
16,Cornell University,United States
17,The University of Hong Kong (HKU),Hong Kong SAR
18,University of Sydney,Australia
19,University of New South Wales (UNSW Sydney),Australia
20,Tsinghua University,China
21,University of Chicago,United States
22,Princeton University,United States
23,Yale University,United States
24,Université PSL,France
25,University of Toronto,Canada
26,École Polytechnique Fédérale de Lausanne (EPFL),Switzerland
27,University of Edinburgh,United Kingdom
28,Technical University of Munich (TUM),Germany
29,McGill University,Canada
30,Australian National University (ANU),Australia
31,Seoul National University,South Korea
32,The University of Tokyo,Japan
32,Johns Hopkins University,United States
34,University of Manchester,United Kingdom
34,Columbia University,United States
36,The Chinese University of Hong Kong (CUHK),Hong Kong SAR
37,Monash University,Australia
38,University of British Columbia,Canada
39,Fudan University,China
40,King's College London,United Kingdom
41,The University of Queensland,Australia
42,University of California Los Angeles (UCLA),United States
43,New York University (NYU),United States
44,University of Michigan-Ann Arbor,United States
45,Shanghai Jiao Tong University,China
46,Institut Polytechnique de Paris,France
47,The Hong Kong University of Science and Technology (HKUST),Hong Kong SAR
48,Zhejiang University,China
49,Delft University of Technology,Netherlands
50,Kyoto University,Japan
51,Northwestern University,United States
52,London School of Economics and Political Science (LSE),United Kingdom
53,KAIST,South Korea
54,University of Bristol,United Kingdom
55,University of Amsterdam,Netherlands
56,Yonsei University,South Korea
57,The Hong Kong Polytechnic University,Hong Kong SAR
58,Carnegie Mellon University,United States
59,Ludwig-Maximilians-Universität München (LMU Munich),Germany
60,Universiti Malaya (UM),Malaysia
61,Duke University,United States
62,City University of Hong Kong,Hong Kong SAR
63,KU Leuven,Belgium
64,Sorbonne University,France
65,The University of Auckland,New Zealand
66,University of Texas at Austin,United States
67,Korea University,South Korea
68,National Taiwan University (NTU),Taiwan
69,The University of Warwick,United Kingdom
70,University of Illinois at Urbana-Champaign,United States
71,Universidad de Buenos Aires (UBA),Argentina
72,University of California San Diego (UCSD),United States
73,Université Paris-Saclay,France
74,KTH Royal Institute of Technology,Sweden
75,Lund University,Sweden
76,University of Washington,United States
77,The University of Western Australia,Australia
78,University of Glasgow,United Kingdom
79,Brown University,United States
80,University of Birmingham,United Kingdom
81,University of Southampton,United Kingdom
82,The University of Adelaide,Australia
83,University of Leeds,United Kingdom
84,Ruprecht-Karls-Universität Heidelberg,Germany
85,Tokyo Institute of Technology,Japan
86,Osaka University,Japan
87,Trinity College Dublin,Ireland
88,University of Technology Sydney (UTS),Australia
89,Durham University,United Kingdom
89,Purdue University,United States
91,Universidade de São Paulo (USP),Brazil
92,Pontificia Universidad Católica de Chile,Chile
93,Lomonosov Moscow State University,Russia
94,Universidad Nacional Autónoma de México (UNAM),Mexico
95,University of Alberta,Canada
96,Freie Universität Berlin,Germany
97,POSTECH,South Korea
98,RWTH Aachen University,Germany
99,Pennsylvania State University,United States
100,University of Copenhagen,Denmark
